,User,Date Created,Number of Likes,Source of Tweet,Tweet
114,HouseOfGab,2022-11-24 03:29:12+00:00,0,Twitter Web App,"@stillgray I'm thankful for the gift of #NewTwitter from #ElonMusk.

#Thanksgiving #Thankful #ThankYouElonMusk"
115,ASwan1728,2022-11-24 03:06:38+00:00,2,Twitter Web App,"#thankyouelonmusk 
For making Twitter more fun!"
116,HouseOfGab,2022-11-24 00:15:00+00:00,0,Twitter Web App,"@elonmusk @BillyM2k Yes!! We know!! Thank you for allowing free speech, averting WWIII and saving The West! #ThankYouElonMusk"
117,AnneKnettles,2022-11-24 00:01:39+00:00,1,Twitter for iPhone,Please help me hit 300 followers on Thanksgiving Eve!  🦃🇺🇸HAPPY THANKSGIVING! I am grateful for free speech on Twitter!! #FreeSpeech #thankyouelonmusk  #HappyThanksgiving2022
118,xKlausSchwabWEF,2022-11-23 23:46:00+00:00,0,Twitter for iPhone,@FoxNews Twitter is lit now #thankyouelonmusk
119,Le5lieB,2022-11-23 23:39:59+00:00,0,Twitter Web App,@libsoftiktok @elonmusk #ThankYouElonMusk for making enabling these and others to feel 'way too comfortable lately.'
120,Yeisthemanfrfr,2022-11-23 23:38:11+00:00,0,Twitter for Android,Damn all these losers are leaving twitter maybe something goods gonna get posted finally #thankyouelonmusk
121,Margie110816,2022-11-23 22:17:53+00:00,1,Twitter Web App,"Breaking News: Since @elonmusk takeover of Twitter, Biden &amp; his cronies in the White House must find a new platform to spread their lies since the era of fact-checking only Conservatives' speech has come to an end #thankyouelonmusk #FJBiden #LetsGoBrandon"
122,PKFJAX,2022-11-23 21:57:13+00:00,1,Twitter for iPhone,@elonmusk Bringing back much needed work ethics! #thankyouelonmusk
123,WrestlingSoup,2022-11-23 21:50:34+00:00,12,Twitter Web App,@KevZCastle Thank Elon. Twitter is becoming a better place. #thankyouelonmusk
124,lavindradesilva,2022-11-23 20:14:52+00:00,1,Twitter for Android,My twitter seems to be falling apart. #RIPTwitter #ThankYouElonMusk https://t.co/xF4fLFRsMP
125,GulsethKat,2022-11-23 19:18:08+00:00,0,Twitter for Android,"@gilmcgowan In fairness Twitter has been a leftist echo chamber. Now everyone is allowed an opinion
#ThankyouElonMusk"
126,xKlausSchwabWEF,2022-11-23 19:08:18+00:00,0,Twitter Web App,@SpaceX @elonmusk Congratulations! It is crazy that Elon has to take time away from things like SpaceX &amp; Tesla to make it possible for people to share differing opinions on Twitter.  As if he didn't have enough to deal with. #thankyouelonmusk
127,Gregg_Thibodeau,2022-11-23 17:31:57+00:00,0,Twitter Web App,"More truth!!!
#ThankyouElonMusk https://t.co/rOL3oq7t8W"
128,jamestm316,2022-11-23 17:10:41+00:00,2,Twitter for iPhone,This means nothing #thankyouelonmusk https://t.co/mOhVgGPImX
129,xKlausSchwabWEF,2022-11-23 16:49:22+00:00,0,Twitter Web App,People mad at @ElonMusk and threatening to leave #Twitter are like Neil Young threatening to leave Spotify when the Matrix similarly went after @joerogan.  No one cares :) I actually just joined Twitter.  #thankyouelonmusk
