,User,Date Created,Language,Number of Likes,Source of Tweet,Tweet
8047,troyajohnson,2012-01-29 12:32:52+00:00,en,0,Hootsuite,"RT @twitterglobalpr twittercomms: #TwitterBlackout reading: Analysis from EFF, CDT & Berkman Center   http://t.co/8W......"
8048,trapghostsmiley,2012-01-29 12:32:48+00:00,en,0,Mobile Web,I didnt tweet yesterday cuz participating in the #Twitterblackout but im back now.
8049,Tweet_Palestine,2012-01-29 12:31:48+00:00,en,0,Twitter Web Client,#TwitterBlackout is over but this doesnt mean that we will accept any infringement on our #freedomofspeech lets see who will be block first
8050,jimbreeds,2012-01-29 12:30:38+00:00,en,0,Mashable Follow,Relax: Twitter's New Censorship Policy Is Actually Good for Activists http://t.co/uxLLgD7P #Twitterblackout RT @mashable
8051,exfashionista,2012-01-29 12:30:31+00:00,en,0,Twitter for iPhone,"Just in case you missed it due to #twitterblackout - I updated the blog yesterday. It's about Domestic Violence |
http://t.co/KvxTtiip"
8052,StargardtEyes,2012-01-29 12:28:59+00:00,en,0,Twitter for iPhone,I wasn't on yesterday bc of #TwitterBlackout. Free speech is something we often take for granted. I'd rather pay for twitter than censorship
8053,luftschlosschen,2012-01-29 12:28:55+00:00,en,0,Twitter Web Client,@comedyfish this Bieber Haters thing is going to be far more effective than the #twitterblackout
8054,MissNYCMom,2012-01-29 12:28:38+00:00,en,0,Twitter for iPad,@QueenzOfMedia Good morning darling! U R back! #TwitterBlackout confirmed it for me - it's hard to get thru a day w/out a little Queenz! :)
8055,TinaThudBump,2012-01-29 12:26:30+00:00,en,0,Mobile Web,Wonder if the few #twitterblackout accounts will take time to read the truth today? #researchbeforeyoujump
8056,Miss_Mynx,2012-01-29 12:24:37+00:00,en,0,Twitter for BlackBerry®,Hello world. I didn't tweet yesterday in honour of the #Twitterblackout. Always stand up for free speech. Censorship threatens everything.
8057,toniismoved,2012-01-29 12:23:55+00:00,en,0,Twitter for iPhone,This should be a time to remember our freedom here in the USA! #twitterblackout #appreciateit
8058,theopenenso,2012-01-29 12:20:13+00:00,en,0,Twitter for BlackBerry®,Remember: there were dissident voices before #Twitter. #TwitterBlackout #Censorship #JustSaying
8059,cctheatreco,2012-01-29 12:18:09+00:00,en,0,Twitter for iPhone,@lizzym40 I didn't tweet but I did peek and my timeline was still busy not sure what happened globally #twitterblackout
8060,Sobh_M,2012-01-29 12:17:54+00:00,en,0,Twitter for iPhone,“@CarlosLatuff: #Cartoon - #Twitter 's Censorship Plan - #TwitterBlackout http://t.co/JZ30jSmn
8061,Aphemia66,2012-01-29 12:17:45+00:00,en,0,Twitter for iPhone,Is it over? Can I tweet now? #TwitterBlackout
8062,kirstylou29,2012-01-29 12:17:32+00:00,en,0,Twitter Web Client,What's this I missed about #twitterblackout ???
8063,Quickkwit,2012-01-29 12:14:28+00:00,en,0,Twitter for Android,I was on that no tweeting for 24 hr joint.. #twitterblackout
8064,mistersaxon,2012-01-29 12:13:12+00:00,en,0,Twitter Web Client,In the end I gave it 36 hours to make sure I covered as many time zones as possible #twitterblackout
8065,ismaenk,2012-01-29 12:12:10+00:00,en,0,TweetDeck,RT @dikuditya: For your new adventure of productive kepo-ing: Search the hashtag #TwitterBlackout !
8066,AneesYounis,2012-01-29 12:10:26+00:00,en,0,Twitter for iPhone,"#TwitterBlackout Over! Man, not tweeting for 24 hours has just shown me what a valuable resource twitter is!"
8067,ivortymchak,2012-01-29 12:09:50+00:00,en,0,Twitter Web Client,"@Tonyfaceless Sorry I didn't reply earlier. I couldn't because of the er, #twitterblackout"
8068,Sibel_Redzheb,2012-01-29 12:09:19+00:00,en,0,Twitter for iPhone,"“@alexanderplahr: If Twitter censors, I'll stop tweeting. I am joining the #TwitterBlackout campaign.”"
8069,ChushiGloria,2012-01-29 12:08:31+00:00,en,0,Twitter Web Client,I joined the #twitterblackout yesterday :)
8070,oraktas,2012-01-29 12:07:07+00:00,en,0,Twitter for Websites,"http://t.co/qV79saE7: #TwitterBlackout sparks debate over ""good"" social media censorship - http://t.co/FJ09vEzG"
8071,LaurenEACooke,2012-01-29 12:06:48+00:00,en,0,Twitter Web Client,I feel #twitterblackout could have been better publicised. Ironically.
8072,Loveless13,2012-01-29 12:05:35+00:00,en,0,TweetCaster for Android,Ok  #TwitterBlackout over. @Loveless13 signing on. Going through mentions and follows.
8073,myrakhalife,2012-01-29 12:05:26+00:00,en,0,Twitter for BlackBerry®,"Ok no more #TwitterBlackout, I am back to Twitterverse"
8074,katelaity,2012-01-29 12:05:00+00:00,en,0,TweetDeck,So did I miss anything during the #twitterblackout?
8075,BiancaJagger,2012-01-29 12:04:59+00:00,en,1,Hootsuite,#TWITTERblackout Feb1 RT @babyboytom: Saudi Prince invested $300 M in twitter recently. Is this the fallout?
8076,poetcurious,2012-01-29 12:03:35+00:00,en,0,Twitter for iPhone,@InuaEllams There was a #twitterblackout ?!?! ;)
8077,hollymcglynn,2012-01-29 12:03:08+00:00,en,0,Twitter for Android,Did anyone else do #twitterblackout yesterday?
8078,BiancaJagger,2012-01-29 12:02:06+00:00,en,0,Hootsuite,#TWITTERblackout #Feb1 RT @haloefekti: Saudi invested $300 M in twitter recently -&gt; #Twittercensored -&gt; global internet #censorship is cheap
8079,cargun,2012-01-29 12:00:29+00:00,en,0,IFTTT,"We will not tweet on Monday January 29th. #TwitterCensored #TwitterBlackout #censorship @Twitter January 29, 2012... http://t.co/rFJFBBpB"
